Book Name,Ratings,User,reviewStars
Beautiful Disaster,4.13,46000051-piratesteve,
Fifty Shades of Grey,3.66,46000051-piratesteve,did not like it
Hopeless,4.32,46000051-piratesteve,did not like it
The Fault in Our Stars,4.24,46000051-piratesteve,did not like it
Divergent,4.22,46000051-piratesteve,really liked it
Slammed,4.28,46000051-piratesteve,it was amazing
Effortless,4.36,46000051-piratesteve,did not like it
Easy,4.1,46000051-piratesteve,liked it
Bared to You,4.19,46000051-piratesteve,did not like it
Thoughtless,4.11,46000051-piratesteve,it was amazing
The Hunger Games,4.33,46000051-piratesteve,did not like it
Fallen Too Far,4.2,46000051-piratesteve,it was amazing
The Edge of Never,4.25,46000051-piratesteve,did not like it
Obsidian,4.21,46000051-piratesteve,did not like it
Walking Disaster,4.22,46000051-piratesteve,did not like it
City of Bones,4.11,46000051-piratesteve,it was amazing
On Dublin Street,4.23,46000051-piratesteve,it was amazing
Clockwork Angel,4.33,46000051-piratesteve,did not like it
Pride and Prejudice,4.25,46000051-piratesteve,it was amazing
Anna and the French Kiss,4.04,46000051-piratesteve,really liked it
"Hush, Hush",3.99,46000051-piratesteve,did not like it
Vampire Academy,4.13,46000051-piratesteve,it was amazing
Wallbanger,4.08,46000051-piratesteve,did not like it
Fifty Shades Freed,3.87,46000051-piratesteve,it was amazing
Gabriel's Inferno,4.01,46000051-piratesteve,it was amazing
Reflected in You,4.33,46000051-piratesteve,did not like it
Fifty Shades Darker,3.86,46000051-piratesteve,it was ok
Perfect Chemistry,4.07,46000051-piratesteve,
The Coincidence of Callie & Kayden,4.2,46000051-piratesteve,did not like it
The Twilight Saga,3.89,46000051-piratesteve,did not like it
The Boy Who Sneaks in My Bedroom Window,3.93,46000051-piratesteve,did not like it
Twilight,3.58,46000051-piratesteve,did not like it
Point of Retreat,4.29,46000051-piratesteve,did not like it
Wait for You,4.18,46000051-piratesteve,did not like it
The Host,3.84,46000051-piratesteve,did not like it
Love Unscripted,4.03,46000051-piratesteve,did not like it
If I Stay,3.95,46000051-piratesteve,did not like it
The Vincent Boys,3.98,46000051-piratesteve,it was amazing
Never Too Far,4.2,46000051-piratesteve,did not like it
The Mighty Storm,4.18,46000051-piratesteve,did not like it
The Sea of Tranquility,4.33,46000051-piratesteve,it was amazing
The Secret of Ella and Micha,4.01,46000051-piratesteve,it was amazing
Rule,4.15,46000051-piratesteve,liked it
Taking Chances,3.86,46000051-piratesteve,it was ok
Reason to Breathe,4.23,46000051-piratesteve,did not like it
Catching Fire,4.29,46000051-piratesteve,it was amazing
Delirium,3.99,46000051-piratesteve,it was ok
Down to You,4.04,46000051-piratesteve,did not like it
While It Lasts,4.24,46000051-piratesteve,it was amazing
Onyx,4.32,46000051-piratesteve,did not like it
Losing It,3.76,46000051-piratesteve,it was ok
Rock Me,4.09,46000051-piratesteve,did not like it
Shiver,3.77,46000051-piratesteve,it was amazing
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,4.57,46000051-piratesteve,did not like it
Fallen,3.73,46000051-piratesteve,did not like it
Playing for Keeps,4.07,46000051-piratesteve,did not like it
Halfway to the Grave,4.18,46000051-piratesteve,
Existence,3.94,46000051-piratesteve,it was amazing
Pushing the Limits,4.07,46000051-piratesteve,did not like it
Opal,4.32,46000051-piratesteve,did not like it
Lover Awakened,4.45,46000051-piratesteve,really liked it
Breathe,3.87,46000051-piratesteve,really liked it
Clash,4.16,46000051-piratesteve,it was amazing
Graceling,4.09,46000051-piratesteve,it was amazing
Bloodlines,4.21,46000051-piratesteve,really liked it
Gabriel's Rapture,4.22,46000051-piratesteve,really liked it
The Perfect Game,3.96,46000051-piratesteve,it was amazing
Where She Went,4.04,46000051-piratesteve,it was amazing
Half-Blood,4.15,46000051-piratesteve,it was amazing
The Unbecoming of Mara Dyer,4.08,52254742-ng-th-winged-dem-n,it was amazing
Breaking Dawn,3.69,52254742-ng-th-winged-dem-n,it was amazing
Because of Low,4.14,52254742-ng-th-winged-dem-n,it was amazing
Real,4.21,52254742-ng-th-winged-dem-n,it was amazing
Lola and the Boy Next Door,3.98,52254742-ng-th-winged-dem-n,it was ok
This Man,4.12,52254742-ng-th-winged-dem-n,it was amazing
My Favorite Mistake,4,52254742-ng-th-winged-dem-n,did not like it
The Iron King,3.91,52254742-ng-th-winged-dem-n,it was amazing
The Vincent Brothers,4.12,52254742-ng-th-winged-dem-n,it was amazing
Just for Now,4.25,52254742-ng-th-winged-dem-n,it was amazing
Naked,4.02,52254742-ng-th-winged-dem-n,it was amazing
Rules of Attraction,4.21,52254742-ng-th-winged-dem-n,liked it
On the Island,4.13,52254742-ng-th-winged-dem-n,it was amazing
Love Unrehearsed,4.26,52254742-ng-th-winged-dem-n,it was ok
That Boy,3.95,52254742-ng-th-winged-dem-n,it was amazing
Dark Lover,4.21,52254742-ng-th-winged-dem-n,it was amazing
The Truth About Forever,4.13,52254742-ng-th-winged-dem-n,it was amazing
Unearthly,4.04,52254742-ng-th-winged-dem-n,it was amazing
Clockwork Prince,4.45,52254742-ng-th-winged-dem-n,
Flat-Out Love,4,52254742-ng-th-winged-dem-n,liked it
Crash,4,52254742-ng-th-winged-dem-n,did not like it
Reckless,4.41,52254742-ng-th-winged-dem-n,it was amazing
Outlander,4.22,52254742-ng-th-winged-dem-n,did not like it
Significance,4.12,52254742-ng-th-winged-dem-n,it was amazing
Motorcycle Man,4.42,52254742-ng-th-winged-dem-n,it was ok
In Flight,4.09,52254742-ng-th-winged-dem-n,it was ok
Shatter Me,3.99,1817343-christie,liked it
Just Listen,4.06,1817343-christie,it was amazing
Leave Me Breathless,4.25,1817343-christie,it was amazing
Wanted,3.97,1817343-christie,it was amazing
Chain Reaction,4.1,1817343-christie,really liked it
From Ashes,4.12,1817343-christie,did not like it
Beautiful Bastard,4.04,1817343-christie,really liked it
The Selection,4.14,1817343-christie,it was amazing
Insurgent,4.05,1817343-christie,it was amazing
Mockingjay,4.03,1817343-christie,did not like it
Darkhouse,3.78,1817343-christie,it was amazing
Providence,3.99,1817343-christie,really liked it
Lover Eternal,4.35,1817343-christie,did not like it
My Life Next Door,4.01,1817343-christie,it was amazing
Backstage Pass,4.04,1817343-christie,it was amazing
Collide,4.23,1817343-christie,really liked it
Up to Me,4.12,1817343-christie,did not like it
Fangirl,4.1,1817343-christie,really liked it
Come Away with Me,3.93,1817343-christie,it was amazing
Mystery Man,4.24,1817343-christie,really liked it
Darkfever,4.12,1817343-christie,it was amazing
Lover Unbound,4.33,1817343-christie,
Maybe Someday,4.3,1817343-christie,it was ok
Silence,4.14,1817343-christie,liked it
Fallen Crest High,4.11,1817343-christie,liked it
Harry Potter and the Deathly Hallows,4.62,1817343-christie,it was ok
The DUFF: Designated Ugly Fat Friend,3.84,1817343-christie,really liked it
Matched,3.67,1817343-christie,it was amazing
Eclipse,3.69,1817343-christie,it was amazing
The Notebook,4.07,1817343-christie,really liked it
Ten Tiny Breaths,4.15,1817343-christie,did not like it
Seduction and Snacks,4.12,1817343-christie,did not like it
Entwined with You,4.19,1817343-christie,really liked it
Fifty Shades Trilogy,4.12,1817343-christie,did not like it
City of Glass,4.33,1817343-christie,really liked it
Angelfall,4.17,1817343-christie,it was amazing
Hearts in Darkness,3.86,1817343-christie,did not like it
Lover Avenged,4.38,1817343-christie,really liked it
Sweet Dreams,4.42,1817343-christie,really liked it
Beneath This Man,4.3,1817343-christie,liked it
The Last Olympian,4.5,1817343-christie,really liked it
