Category,Link
Arts & Photography,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Arts-Photography-Books/b?ie=UTF8&amp;node=1""><span class=""a-size-small a-color-base"">Arts &amp; Photography</span></a>"
Biographies & Memoirs,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Biographies-Memoirs-Books/b?ie=UTF8&amp;node=2""><span class=""a-size-small a-color-base"">Biographies &amp; Memoirs</span></a>"
Business & Money,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Business-Money-Investing-Books/b?ie=UTF8&amp;node=3""><span class=""a-size-small a-color-base"">Business &amp; Money</span></a>"
Calendars,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Calendars-Books/b?ie=UTF8&amp;node=3248857011""><span class=""a-size-small a-color-base"">Calendars</span></a>"
Children's Books,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Childrens-Books/b?ie=UTF8&amp;node=4""><span class=""a-size-small a-color-base"">Children's Books</span></a>"
Christian Books & Bibles,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Christianity-Religion-Spirituality-Books/b?ie=UTF8&amp;node=12290""><span class=""a-size-small a-color-base"">Christian Books &amp; Bibles</span></a>"
Comics & Graphic Novels,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Comics-Graphic-Novels-Books/b?ie=UTF8&amp;node=4366""><span class=""a-size-small a-color-base"">Comics &amp; Graphic Novels</span></a>"
Computers & Technology,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Computers-Technology-Books/b?ie=UTF8&amp;node=5""><span class=""a-size-small a-color-base"">Computers &amp; Technology</span></a>"
"Cookbooks, Food & Wine","<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Cookbooks-Recipe-Books-Wine-Books/b?ie=UTF8&amp;node=6""><span class=""a-size-small a-color-base"">Cookbooks, Food &amp; Wine</span></a>"
"Crafts, Hobbies & Home","<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Home-Garden-Books/b?ie=UTF8&amp;node=48""><span class=""a-size-small a-color-base"">Crafts, Hobbies &amp; Home</span></a>"
Education & Teaching,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Education-Teaching/b?ie=UTF8&amp;node=8975347011""><span class=""a-size-small a-color-base"">Education &amp; Teaching</span></a>"
Engineering & Transportation,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Engineering-Transportation-Books/b?ie=UTF8&amp;node=173507""><span class=""a-size-small a-color-base"">Engineering &amp; Transportation</span></a>"
"Health, Fitness & Dieting","<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Health-Mind-Body-Books/b?ie=UTF8&amp;node=10""><span class=""a-size-small a-color-base"">Health, Fitness &amp; Dieting</span></a>"
History,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/History-Books/b?ie=UTF8&amp;node=9""><span class=""a-size-small a-color-base"">History</span></a>"
Humor & Entertainment,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Entertainment-Books/b?ie=UTF8&amp;node=86""><span class=""a-size-small a-color-base"">Humor &amp; Entertainment</span></a>"
Law,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Law-Books/b?ie=UTF8&amp;node=10777""><span class=""a-size-small a-color-base"">Law</span></a>"
"Lesbian, Gay, Bisexual & Transgender Books","<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Gay-Lesbian-Books/b?ie=UTF8&amp;node=301889""><span class=""a-size-small a-color-base"">Lesbian, Gay, Bisexual &amp; Transgender Books</span></a>"
Literature & Fiction,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Literature-Fiction-Books/b?ie=UTF8&amp;node=17""><span class=""a-size-small a-color-base"">Literature &amp; Fiction</span></a>"
Medical Books,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Medical-Professional-Technical-Books/b?ie=UTF8&amp;node=173514""><span class=""a-size-small a-color-base"">Medical Books</span></a>"
"Mystery, Thriller & Suspense","<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Mystery-Thrillers-Books/b?ie=UTF8&amp;node=18""><span class=""a-size-small a-color-base"">Mystery, Thriller &amp; Suspense</span></a>"
Parenting & Relationships,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Parenting-Families-Books/b?ie=UTF8&amp;node=20""><span class=""a-size-small a-color-base"">Parenting &amp; Relationships</span></a>"
Politics & Social Sciences,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Politics-Social-Sciences-Books/b?ie=UTF8&amp;node=3377866011""><span class=""a-size-small a-color-base"">Politics &amp; Social Sciences</span></a>"
Reference,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Education-Reference-Books/b?ie=UTF8&amp;node=21""><span class=""a-size-small a-color-base"">Reference</span></a>"
Religion & Spirituality,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Religion-Spirituality-Books/b?ie=UTF8&amp;node=22""><span class=""a-size-small a-color-base"">Religion &amp; Spirituality</span></a>"
Romance,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Romance-Books/b?ie=UTF8&amp;node=23""><span class=""a-size-small a-color-base"">Romance</span></a>"
Science & Math,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Science-Math-Books/b?ie=UTF8&amp;node=75""><span class=""a-size-small a-color-base"">Science &amp; Math</span></a>"
Science Fiction & Fantasy,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Science-Fiction-Fantasy-Books/b?ie=UTF8&amp;node=25""><span class=""a-size-small a-color-base"">Science Fiction &amp; Fantasy</span></a>"
Self-Help,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Self-Help-Health-Mind-Body-Books/b?ie=UTF8&amp;node=4736""><span class=""a-size-small a-color-base"">Self-Help</span></a>"
Sports & Outdoors,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Sports-Books/b?ie=UTF8&amp;node=26""><span class=""a-size-small a-color-base"">Sports &amp; Outdoors</span></a>"
Teen & Young Adult,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Young-Adult-Teens-Books/b?ie=UTF8&amp;node=28""><span class=""a-size-small a-color-base"">Teen &amp; Young Adult</span></a>"
Test Preparation,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Test-Preparation-Books/b?ie=UTF8&amp;node=5267710011""><span class=""a-size-small a-color-base"">Test Preparation</span></a>"
Travel,"<a class=""a-link-normal s-ref-text-link"" href=""https://www.amazon.com/Travel-Books/b?ie=UTF8&amp;node=27""><span class=""a-size-small a-color-base"">Travel</span></a>"
