Category,Book Name,Author Name,Author Link,Ratings,Awards,OtherLinks,Description,Score
romance,Beautiful Disaster,Jamie McGuire,https://www.goodreads.com/author/show/4464118.Jamie_McGuire,4.13,Goodreads Choice Award Nominee for Best Young Adult Fiction (2011),"Romance 4,772 users New Adult 2,828 users Contemporary 1,570 users Young Adult 1,404 users Romance Contemporary Romance 870 users","The new Abby Abernathy is a good girl. She doesn’t drink or swear, and she has the appropriate number of cardigans in her wardrobe. Abby believes she has enough distance from the darkness of her past, but when she arrives at college with her best friend, her path to a new beginning is quickly challenged by Eastern University's Walking One-Night Stand. Travis Maddox, lean, cut, and covered in tattoos, is exactly what Abby needs—and wants—to avoid. He spends his nights winning money in a floating fight ring, and his days as the ultimate college campus charmer. Intrigued by Abby’s resistance to his appeal, Travis tricks her into his daily life with a simple bet. If he loses, he must remain abstinent for a month. If Abby loses, she must live in Travis’s apartment for the same amount of time. Either way, Travis has no idea that he has met his match.","score: 761,6977,739 people voted"
romance,Fifty Shades of Grey,E.L. James,https://www.goodreads.com/author/show/4725841.E_L_James,3.66,Goodreads Choice Award Nominee for Best Romance (2nd) (2011),"Romance 7,857 users Fiction 3,315 users Adult Fiction Erotica 3,067 users Adult 1,695 users Erotica Bdsm 1,664 users","When literature student Anastasia Steele goes to interview young entrepreneur Christian Grey, she encounters a man who is beautiful, brilliant, and intimidating. The unworldly, innocent Ana is startled to realize she wants this man and, despite his enigmatic reserve, finds she is desperate to get close to him. Unable to resist Ana’s quiet beauty, wit, and independent spirit, Grey admits he wants her, too—but on his own terms. Shocked yet thrilled by Grey’s singular erotic tastes, Ana hesitates. For all the trappings of success—his multinational businesses, his vast wealth, his loving family—Grey is a man tormented by demons and consumed by the need to control. When the couple embarks on a daring, passionately physical affair, Ana discovers Christian Grey’s secrets and explores her own dark desires.Erotic, amusing, and deeply moving, the Fifty Shades Trilogy is a tale that will obsess you, possess you, and stay with you forever.This book is intended for mature audiences.","score: 414,6984,259 people voted"
romance,Hopeless,Colleen Hoover,https://www.goodreads.com/author/show/5430144.Colleen_Hoover,4.32,N/A,"Romance 2,912 users New Adult 2,137 users Young Adult 1,536 users Contemporary 1,407 users","Sometimes discovering the truth can leave you more hopeless than believing the lies…That’s what seventeen-year-old Sky realizes after she meets Dean Holder. A guy with a reputation that rivals her own and an uncanny ability to invoke feelings in her she’s never had before. He terrifies her and captivates her all in the span of just one encounter, and something about the way he makes her feel sparks buried memories from a past that she wishes could just stay buried.Sky struggles to keep him at a distance knowing he’s nothing but trouble, but Holder insists on learning everything about her. After finally caving to his unwavering pursuit, Sky soon finds that Holder isn’t at all who he’s been claiming to be. When the secrets he’s been keeping are finally revealed, every single facet of Sky’s life will change forever.","score: 390,3524,033 people voted"
romance,The Fault in Our Stars,John Green,https://www.goodreads.com/author/show/1406384.John_Green,4.24,FAB Award Nominee (2014),"Young Adult 18,676 users Fiction 9,000 users Romance 8,657 users Contemporary 5,886 users","Despite the tumor-shrinking medical miracle that has bought her a few years, Hazel has never been anything but terminal, her final chapter inscribed upon diagnosis. But when a gorgeous plot twist named Augustus Waters suddenly appears at Cancer Kid Support Group, Hazel's story is about to be completely rewritten.Insightful, bold, irreverent, and raw, The Fault in Our Stars is award-winning author John Green's most ambitious and heartbreaking work yet, brilliantly exploring the funny, thrilling, and tragic business of being alive and in love.","score: 325,3563,352 people voted"
romance,Divergent,Veronica Roth,https://www.goodreads.com/author/show/4039811.Veronica_Roth,4.22,Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2011),"Young Adult 18,884 users Science Fiction Dystopia 12,565 users Fiction 6,091 users Fantasy 5,507 users","In Beatrice Prior's dystopian Chicago world, society is divided into five factions, each dedicated to the cultivation of a particular virtue—Candor (the honest), Abnegation (the selfless), Dauntless (the brave), Amity (the peaceful), and Erudite (the intelligent). On an appointed day of every year, all sixteen-year-olds must select the faction to which they will devote the rest of their lives. For Beatrice, the decision is between staying with her family and being who she really is—she can't have both. So she makes a choice that surprises everyone, including herself.During the highly competitive initiation that follows, Beatrice renames herself Tris and struggles alongside her fellow initiates to live out the choice they have made. Together they must undergo extreme physical tests of endurance and intense psychological simulations, some with devastating consequences. As initiation transforms them all, Tris must determine who her friends really are—and where, exactly, a romance with a sometimes fascinating, sometimes exasperating boy fits into the life she's chosen. But Tris also has a secret, one she's kept hidden from everyone because she's been warned it can mean death. And as she discovers unrest and growing conflict that threaten to unravel her seemingly perfect society, she also learns that her secret might help her save those she loves . . . or it might destroy her.","score: 304,4533,136 people voted"
romance,Slammed,Colleen Hoover,https://www.goodreads.com/author/show/5430144.Colleen_Hoover,4.28,Goodreads Choice Award Nominee for Best Young Adult Fiction and Goodreads Author (2012),"Romance 2,719 users New Adult 1,721 users Young Adult 1,603 users Contemporary 1,327 users Romance Contemporary Romance 451 users Fiction 293 users Womens Fiction Chick Lit 280 users Young Adult High School 209 users Realistic Fiction 178 users Poetry 137 users","This is an alternate cover edition for  ASIN B008TRUDAS.Following the unexpected death of her father, 18-year-old Layken is forced to be the rock for both her mother and younger brother. Outwardly, she appears resilient and tenacious, but inwardly, she's losing hope.Enter Will Cooper: The attractive, 21-year-old new neighbor with an intriguing passion for slam poetry and a unique sense of humor. Within days of their introduction, Will and Layken form an intense emotional connection, leaving Layken with a renewed sense of hope.Not long after an intense, heart-stopping first date, they are slammed to the core when a shocking revelation forces their new relationship to a sudden halt. Daily interactions become impossibly painful as they struggle to find a balance between the feelings that pull them together, and the secret that keeps them apart.","score: 286,2392,986 people voted"
romance,Effortless,S.C. Stephens,https://www.goodreads.com/author/show/4372391.S_C_Stephens,4.36,N/A,"Romance 1,053 users New Adult 657 users Romance Contemporary Romance 260 users Contemporary 258 users","After being caught in the middle of a love triangle that led to a devastating betrayal, Kiera pledged to learn from the mistakes she made. She was determined to never again inflict that kind of pain on anyone, especially the soulful, talented man who held her heart. But life offers new challenges for every relationship, and when Kiera's love is put to the ultimate test, will it survive? Love is easy ... trust is hard.","score: 278,3612,863 people voted"
romance,Easy,Tammara Webber,https://www.goodreads.com/author/show/4826501.Tammara_Webber,4.1,Goodreads Choice Award Nominee for Best Young Adult Fiction and Goodreads Author (2012),"Romance 3,270 users New Adult 2,773 users Contemporary 1,374 users Young Adult 1,315 users Romance Contemporary Romance 629 users Academic College 487 users","A New York Times and USA Today BestsellerRescued by a stranger.Haunted by a secret.Sometimes, love isn't easy...He watched her, but never knew her. Until thanks to a chance encounter, he became her savior...The attraction between them was undeniable. Yet the past he'd worked so hard to overcome, and the future she'd put so much faith in, threatened to tear them apart.Only together could they fight the pain and guilt, face the truth - and find the unexpected power of love.A groundbreaking novel in the New Adult genre, Easy faces one girl's struggle to regain the trust she's lost, find the inner strength to fight back against an attacker, and accept the peace she finds in the arms of a secretive boy.","score: 270,6932,815 people voted"
romance,Bared to You,Sylvia Day,https://www.goodreads.com/author/show/19823.Sylvia_Day,4.19,Goodreads Choice Award Nominee for Romance (2012),"Romance 3,621 users Adult Fiction Erotica 1,600 users Contemporary 796 users Adult 726 users Romance Contemporary Romance 682 users","From #1 ""New York Times"" bestselling author Sylvia Day comes the provocative masterstroke of abandon and obsession that redefined the meaning of desire and became a global phenomenon...""Gideon Cross came into my life like lightning in the darkness. He was beautiful and brilliant, jagged and white-hot. I was drawn to him as I'd never been to anything or anyone in my life. I craved his touch like a drug, even knowing it would weaken me. I was flawed and damaged, and he opened those cracks in me so easily.Gideon ""knew."" He had demons of his own. And we would become the mirrors that reflected each others most private wounds and desires.The bonds of his love transformed me, even as I prayed that the torment of our pasts didn't tear us apart ""","score: 267,8112,803 people voted"
romance,Thoughtless,S.C. Stephens,https://www.goodreads.com/author/show/4372391.S_C_Stephens,4.11,SKoW Award for Best M-Rated (2010),"Romance 1,751 users New Adult 1,122 users Contemporary 504 users Romance Contemporary Romance 412 users Did Not Finish 236 users Young Adult 234 users","For almost two years now, Kiera's boyfriend, Denny, has been everything she's ever wanted: loving, tender and endlessly devoted to her. When they head off to a new city to start their lives together, Denny at his dream job and Kiera at a top-notch university, everything seems perfect. Then an unforeseen obligation forces the happy couple apart.Feeling lonely, confused, and in need of comfort, Kiera turns to an unexpected source—a local rock star named Kellan Kyle. At first, he's purely a friend that she can lean on, but as her loneliness grows, so does their relationship. And then one night everything changes... and none of them will ever be the same.","score: 254,9622,661 people voted"
